gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,p_adj_FDR,nlog10p.adj,nlog10p.FDR,TE_class,TE_family,deg,nlog10p.adj_max,deglabs
BAALC,5.52E-80,-0.543267586,0.224,0.466,1.79E-75,8.22E-80,74.74599991,79.08531383,NA,NA,DOWN,74.74599991,NA
BABAM1,2.31E-91,-0.26494473,0.105,0.346,7.52E-87,4.25E-91,86.12385263,90.37183641,NA,NA,NO,86.12385263,NA
BAD,7.44E-89,-0.271405631,0.102,0.337,2.42E-84,1.30E-88,83.61665076,87.88582385,NA,NA,NO,83.61665076,NA
BANF1,1.19E-98,-0.387610988,0.286,0.597,3.87E-94,2.51E-98,93.41222657,97.6003664,NA,NA,NO,93.41222657,NA
BBX,2.57E-77,-0.270516465,0.202,0.462,8.35E-73,3.71E-77,72.07805623,76.43064334,NA,NA,NO,72.07805623,NA
BCAP29,4.41E-85,-0.259922668,0.13,0.375,1.43E-80,7.23E-85,79.843464,84.1407483,NA,NA,NO,79.843464,NA
BCAP31,5.69E-114,-0.374364022,0.147,0.441,1.85E-109,1.58E-113,108.732845,112.8007926,NA,NA,NO,108.732845,NA
BCAS2,6.29E-90,-0.301511089,0.097,0.331,2.04E-85,1.13E-89,84.68950208,88.94753308,NA,NA,NO,84.68950208,NA
BCL2,2.53E-10,0.386290199,0.135,0.1,8.24E-06,2.71E-10,5.084299684,9.566520654,NA,NA,NO,5.084299684,NA
BEX3,4.24E-216,-0.886996668,0.414,0.759,1.38E-211,6.43E-215,210.8603546,214.1921153,NA,NA,DOWN,210.8603546,NA
BEX4,4.45E-80,-0.309953777,0.208,0.476,1.45E-75,6.63E-80,74.83970223,79.17826672,NA,NA,NO,74.83970223,NA
BHLHE41,3.54E-65,-0.415031546,0.026,0.171,1.15E-60,4.66E-65,59.93865075,64.33144052,NA,NA,NO,59.93865075,NA
BID,2.20E-75,-0.296153185,0.082,0.276,7.17E-71,3.12E-75,70.14477527,74.50599103,NA,NA,NO,70.14477527,NA
BIN1,1.72E-44,-0.35739778,0.057,0.18,5.60E-40,2.02E-44,39.25203636,43.69568431,NA,NA,NO,39.25203636,NA
BIRC5,8.55E-41,-0.38399216,0.035,0.139,2.78E-36,9.84E-41,35.55626229,40.00691985,NA,NA,NO,35.55626229,NA
BLOC1S1,2.40E-143,-0.508002128,0.298,0.665,7.81E-139,1.08E-142,138.1070741,141.9662613,NA,NA,DOWN,138.1070741,NA
BLOC1S2,9.03E-80,-0.260667,0.096,0.311,2.94E-75,1.34E-79,74.5321782,78.87261384,NA,NA,NO,74.5321782,NA
BLVRA,1.64E-86,-0.299951225,0.074,0.288,5.32E-82,2.76E-86,81.27403424,85.55919013,NA,NA,NO,81.27403424,NA
BLVRB,4.69E-111,-0.431572406,0.029,0.252,1.52E-106,1.24E-110,105.8170662,109.9055032,NA,NA,NO,105.8170662,NA
BNIP3,2.96E-151,-0.89067869,0.156,0.482,9.62E-147,1.60E-150,146.0169907,149.7969966,NA,NA,DOWN,146.0169907,NA
BNIP3L,1.01E-160,-0.716610962,0.208,0.563,3.29E-156,6.50E-160,155.4827233,159.1873315,NA,NA,DOWN,155.4827233,NA
BOLA3,9.19E-103,-0.322713338,0.092,0.341,2.99E-98,2.07E-102,97.524705,101.6832224,NA,NA,NO,97.524705,NA
BRI3,1.60E-68,-0.336302774,0.136,0.343,5.20E-64,2.15E-68,63.28384439,67.66726534,NA,NA,NO,63.28384439,NA
BRK1,2.18E-196,-0.651421406,0.355,0.764,7.09E-192,2.53E-195,191.1492403,194.5972825,NA,NA,DOWN,191.1492403,NA
BSG,1.19E-81,-0.455103064,0.342,0.627,3.88E-77,1.83E-81,76.4116142,80.73800853,NA,NA,NO,76.4116142,NA
BST2,8.12E-83,-0.566873312,0.113,0.326,2.64E-78,1.27E-82,77.57863339,81.89527664,NA,NA,DOWN,77.57863339,NA
BTF3,5.84E-273,-0.838098878,0.497,0.895,1.90E-268,1.98E-271,267.7219329,270.7043591,NA,NA,DOWN,267.7219329,NA
BTF3L4,1.06E-109,-0.353390302,0.13,0.413,3.43E-105,2.70E-109,104.4645227,108.5686824,NA,NA,NO,104.4645227,NA
BTG1,0.015073065,0.281508592,0.472,0.612,1,0.015615912,0,1.806432645,NA,NA,NO,0,NA
BTG3,1.19E-69,-0.256974635,0.106,0.31,3.86E-65,1.61E-69,64.41345084,68.79449767,NA,NA,NO,64.41345084,NA
BUD31,6.69E-169,-0.566425087,0.217,0.595,2.17E-164,4.73E-168,163.662911,167.3251568,NA,NA,DOWN,163.662911,NA
BZW1,2.58E-106,-0.330352948,0.216,0.532,8.37E-102,6.23E-106,101.0771401,105.2056942,NA,NA,NO,101.0771401,NA
C11orf58,2.82E-121,-0.432644684,0.337,0.686,9.15E-117,8.89E-121,116.0384976,120.0513408,NA,NA,NO,116.0384976,NA
C12orf57,1.04E-143,-0.559191673,0.229,0.578,3.38E-139,4.75E-143,138.4709585,142.3233062,NA,NA,DOWN,138.4709585,NA
